permutation,gini,feature
0.013619873339098901,0.029515347118537552,W1
0.009902943101648076,0.02311282128855249,W1_err
0.008535385920092212,0.014779479103955866,g_cmodel_mag
0.008900690439481126,0.012018457374837381,r_cmodel_mag
0.012751133932534242,0.013787071125242994,i_cmodel_mag
0.015100552799056421,0.01864082090512662,z_cmodel_mag
0.01450253757099651,0.018622789404256254,y_cmodel_mag
0.008218829622094933,0.015215074020728643,g_cmodel_magsigma
0.00864072255042451,0.011410041074581075,r_cmodel_magsigma
0.008898883785348385,0.011943224243803806,i_cmodel_magsigma
0.009784814132396033,0.015487977281629832,z_cmodel_magsigma
0.009819598997030185,0.01629605461693006,y_cmodel_magsigma
0.014086533219307676,0.007583153849935926,g_cmodel_fracdev
0.018452498204335737,0.01276929316186069,r_cmodel_fracdev
0.010997704627388213,0.017652091102084818,i_cmodel_fracdev
0.009706096291979827,0.017309495200610522,z_cmodel_fracdev
0.009573042372437538,0.01109240081710025,y_cmodel_fracdev
0.009253605596383071,0.016103876225154766,g_kronflux_mag
0.008313739842981746,0.0120465676607554,r_kronflux_mag
0.012811667762553417,0.014159481188748501,i_kronflux_mag
0.014851437390529965,0.01785684592666674,z_kronflux_mag
0.015282187837214542,0.01764202949814755,y_kronflux_mag
0.008586524556872218,0.015234899970267644,g_kronflux_magsigma
0.00826872788531711,0.011851323018483259,r_kronflux_magsigma
0.008948875227589284,0.011848560933429935,i_kronflux_magsigma
0.01009068833365001,0.01478600337910464,z_kronflux_magsigma
0.010092374916368496,0.014711263982232008,y_kronflux_magsigma
0.009489098402588603,0.012304295514519979,i_kronflux_radius
0.00904867908516401,0.011696948397656573,r_sdssshape_shape11
0.008330829900411674,0.011450705629203424,i_sdssshape_shape11
0.00871128664370402,0.011271661507376313,z_sdssshape_shape11
0.008754476010391218,0.011547347959356687,y_sdssshape_shape11
0.008362997122653648,0.011381592550200284,r_sdssshape_shape12
0.008275240439945986,0.011190830538142536,i_sdssshape_shape12
0.008022123515345703,0.01121992535003535,z_sdssshape_shape12
0.008293533667301936,0.011358510711705315,y_sdssshape_shape12
0.008802507500702847,0.011676956477979939,r_sdssshape_shape22
0.008713235229495742,0.011460992359921474,i_sdssshape_shape22
0.008940819966137603,0.011144811702797859,z_sdssshape_shape22
0.00869851978118156,0.011574642555961913,y_sdssshape_shape22
0.009717018884439507,0.011149455689713325,r_sdssshape_shape11sigma
0.008598196505262648,0.011938682259753173,i_sdssshape_shape11sigma
0.008780700515300555,0.013388745967343824,z_sdssshape_shape11sigma
0.008879255496379615,0.016365809867046117,y_sdssshape_shape11sigma
0.009523853787109479,0.011113569221760497,r_sdssshape_shape12sigma
0.008938519181524848,0.011758352544217032,i_sdssshape_shape12sigma
0.009023090186665398,0.013574664193758875,z_sdssshape_shape12sigma
0.008880458941035582,0.01672471611341065,y_sdssshape_shape12sigma
0.009488026236778913,0.011142782610583605,r_sdssshape_shape22sigma
0.00914923790429493,0.013372420943132741,i_sdssshape_shape22sigma
0.00953161318174515,0.016539329951211237,z_sdssshape_shape22sigma
0.009856192961808508,0.023962563761822243,y_sdssshape_shape22sigma
0.055480275506446554,0.0748109755408095,gr
0.0229345998757865,0.056608113406699585,ri
0.013932558390901276,0.023175369163430055,iz
0.012318461481395334,0.014574634348250853,zy
0.01234848102087871,0.026801552843006816,W1g
0.011750596336544628,0.02068685083677987,W1r
0.013092060564093807,0.01659649771010284,W1i
0.012044743925100984,0.016253690440923955,W1z
0.01174224278373496,0.016705557858620313,W1y
